     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2048,        48,         0,   0.063,pymatching,be234ddd3877311da5c1296d8df163e0cca938c3f5f2e1604ee0ce2deefd431a,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0019,""params"":{""after_clifford1_depolarization"":0.00019,""after_clifford2_depolarization"":0.0019,""after_reset_flip_probability"":0.0038,""before_measure_flip_probability"":0.0038,""before_round_data_bias_probability"":[0.00019,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00152,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,        31,         0,   0.063,pymatching,2d411be7afed5b83c37f5d8ede67e5451b1fa4e60fa543682a8a605afaebf307,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00136,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.062,pymatching,d66691da2b68c3977b13760a0fd6df76ac0566b990491191e03e176e3a2cf6d3,"{""d"":9,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":9,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00144,""rounds"":27,""x_distance"":null,""z_distance"":null}}",
      2048,        38,         0,   0.078,pymatching,47eeacae995ffb9fb5812a6076e5a40402041fecfb7e5a343b7b0fd59d344e04,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0014800000000000002,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,        21,         0,   0.062,pymatching,090e59825fbdfccfeaf3352d12aac239274488021dc332450a32f6ced5cddc1e,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00144,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.062,pymatching,b0756c517b3bc2c1b611c82a6cae7afbcff27e468ce6b716fffabe40623160ce,"{""d"":9,""eta"":0.5,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,0.5],""distance"":9,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0014800000000000002,""rounds"":27,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.062,pymatching,539034c9affc4bcb64a2b97d47a14d22f18f95adb081c431f4fda85a4dd29b13,"{""d"":9,""eta"":0.5,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,0.5],""distance"":9,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00136,""rounds"":27,""x_distance"":null,""z_distance"":null}}",
      2048,        38,         0,   0.078,pymatching,be234ddd3877311da5c1296d8df163e0cca938c3f5f2e1604ee0ce2deefd431a,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0019,""params"":{""after_clifford1_depolarization"":0.00019,""after_clifford2_depolarization"":0.0019,""after_reset_flip_probability"":0.0038,""before_measure_flip_probability"":0.0038,""before_round_data_bias_probability"":[0.00019,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00152,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
         8,         1,         0,   0.047,pymatching,d66691da2b68c3977b13760a0fd6df76ac0566b990491191e03e176e3a2cf6d3,"{""d"":9,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":9,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00144,""rounds"":27,""x_distance"":null,""z_distance"":null}}",
      2048,        21,         0,   0.063,pymatching,2d411be7afed5b83c37f5d8ede67e5451b1fa4e60fa543682a8a605afaebf307,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00136,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
         8,         0,         0,   0.063,pymatching,539034c9affc4bcb64a2b97d47a14d22f18f95adb081c431f4fda85a4dd29b13,"{""d"":9,""eta"":0.5,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,0.5],""distance"":9,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00136,""rounds"":27,""x_distance"":null,""z_distance"":null}}",
         8,         0,         0,   0.063,pymatching,b0756c517b3bc2c1b611c82a6cae7afbcff27e468ce6b716fffabe40623160ce,"{""d"":9,""eta"":0.5,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,0.5],""distance"":9,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0014800000000000002,""rounds"":27,""x_distance"":null,""z_distance"":null}}",
      2048,        32,         0,   0.078,pymatching,090e59825fbdfccfeaf3352d12aac239274488021dc332450a32f6ced5cddc1e,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00144,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,        36,         0,   0.078,pymatching,47eeacae995ffb9fb5812a6076e5a40402041fecfb7e5a343b7b0fd59d344e04,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0014800000000000002,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
        64,         1,         0,   0.078,pymatching,d66691da2b68c3977b13760a0fd6df76ac0566b990491191e03e176e3a2cf6d3,"{""d"":9,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":9,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00144,""rounds"":27,""x_distance"":null,""z_distance"":null}}",
